接口号(0开头为前端到后端;1开头为后端到前端),描述,传值(初步设想 可以改)
00001000,校外用户发出注册请求,
10001000,给出一个注册html页面,
00002000,校外用户输入用户名、邮箱、密码、重复密码后点击注册,(1)用户名 (2)邮箱 (3)密码 (4)重复密码
10002000,校外用户注册成功,(1)errorCode(000) (2)重定向到前端学生认证页面
10002001,用户名重复/非法,errorCode(001)(弹出一个alert?)
10002002,邮箱非法(不是edu.cn结尾 或者没有@字符),errorCode(002)
10002003,密码非法,errorCode(003)
10002004,密码重复不正确,errorCode(004)
00011000,用户发出登录请求,(1)登录名(校内为学生号/教师号 校外为邮箱) (2)密码(校内人员初始密码为id号)
10011000,登录成功且用户已认证,(1)errorCode(000) (2)个人主页html
10011001,登录名不存在,errorCode(001)
10011002,密码错误,errorCode(002)
10011003,用户是导师且未认证完毕,(1)errorCode(003) (2)是否修改过密码(若否，前端给一个改密码提示) (3)重定向到前端导师认证页面 (4)给出导师已填或自动生成的信息(姓名;教师号;研究所;手机或微信;邮箱;实验室方向和科研成果介绍;个人主页链接;管理的科研任务列表(可以链接到科研任务页面))(不包括密码)
10011004,用户是校内学生且未认证完毕,(1)errorCode(004) (2)是否修改过密码(若否，前端给一个改密码提示) (3)重定向到前端学生认证页面 (4)给出学生已填或自动生成的信息((学校;)姓名;学号;年级;个人介绍;手机或微信;邮箱;个人主页链接;研究所/关键词;个人简历)(不包括密码)
00012000,导师用户在认证界面输入部分信息后保存,导师已填信息
00012010,学生用户在认证界面输入部分信息后保存,学生已填信息
00013000,导师用户点击完成认证,导师已填信息
00013010,学生用户点击完成认证,学生已填信息
10013000,导师用户认证成功,(1)errorCode(000) (2)重定向到个人主页
10013001,导师用户填写错误(遗漏即NULL属于错误)(若未曾修改密码，则新密码为必填),(1)errorCode(001) (2)从上往下第一个错误项
10013010,学生用户认证成功,(1)errorCode(010) (2)重定向到个人主页
10013011,学生用户填写错误(遗漏即NULL属于错误)(若未曾修改密码，则新密码为必填),(1)errorCode(011) (2)从上往下第一个错误项

